frame_num,object_type,track_id,team_id,map_x,map_y
0,players,1,1.0,8.25841236114502,51.413726806640625
0,players,3,0.0,12.971844673156738,55.677494049072266
0,players,4,1.0,19.828096389770508,66.72337341308594
0,players,5,1.0,0.8338519930839539,44.05534362792969
0,players,6,0.0,,
0,players,7,0.0,17.71411895751953,28.741228103637695
0,players,8,0.0,6.809571743011475,58.266632080078125
0,players,9,0.0,3.0749917030334473,42.29246520996094
0,players,10,0.0,18.667722702026367,41.069366455078125
0,players,11,1.0,,
0,players,12,0.0,,
0,players,13,1.0,4.155205726623535,18.04488182067871
0,players,14,1.0,3.692314863204956,59.72101593017578
0,players,15,0.0,,
0,players,16,1.0,,
0,players,17,1.0,13.951472282409668,36.39087677001953
0,players,18,1.0,17.082185745239258,60.74304962158203
0,players,21,0.0,17.381145477294922,60.98383712768555
0,players,23,1.0,,
0,players,24,,,
1,players,1,1.0,8.257944107055664,51.41318893432617
1,players,3,0.0,12.97204875946045,55.6767463684082
1,players,4,1.0,19.828044891357422,66.72303771972656
1,players,5,1.0,0.8341896533966064,44.0576286315918
1,players,6,0.0,,
1,players,7,0.0,17.71371078491211,28.7398738861084
1,players,8,0.0,6.8093743324279785,58.26646423339844
1,players,9,0.0,3.074798107147217,42.29238510131836
1,players,10,0.0,18.66815757751465,41.0667610168457
1,players,11,1.0,,
1,players,12,0.0,,
1,players,13,1.0,4.1548333168029785,18.04437255859375
1,players,14,1.0,3.692199230194092,59.720252990722656
1,players,15,0.0,,
1,players,16,1.0,,
1,players,17,1.0,13.949766159057617,36.39634323120117
1,players,18,1.0,17.081562042236328,60.74542999267578
1,players,21,0.0,17.383398056030273,60.98098373413086
1,players,23,1.0,,
1,players,24,,,
2,players,6,0.0,,
2,players,1,1.0,8.413408279418945,51.52054977416992
2,players,4,1.0,19.756982803344727,66.8038330078125
2,players,5,1.0,0.8471800684928894,44.02436447143555
2,players,10,0.0,18.715761184692383,41.05870056152344
2,players,14,1.0,3.726126194000244,59.843997955322266
2,players,8,0.0,6.834929943084717,58.2842903137207
2,players,7,0.0,17.759498596191406,28.775638580322266
2,players,9,0.0,3.097959518432617,42.25484085083008
2,players,3,0.0,13.09578800201416,55.91152572631836
2,players,12,0.0,,
2,players,11,1.0,,
2,players,13,1.0,4.146460056304932,18.06635093688965
2,players,15,0.0,,
2,players,16,1.0,,
2,players,18,1.0,17.114866256713867,60.747230529785156
2,players,17,1.0,13.945240020751953,36.45085525512695
2,players,21,0.0,17.541589736938477,61.224491119384766
2,players,23,1.0,,
3,players,10,0.0,18.717506408691406,41.10651779174805
3,players,6,0.0,,
3,players,4,1.0,19.702760696411133,66.88793182373047
3,players,1,1.0,8.498573303222656,51.55941390991211
3,players,7,0.0,17.871780395507812,28.72158432006836
3,players,14,1.0,3.729165554046631,59.982303619384766
3,players,8,0.0,6.83933162689209,58.308250427246094
3,players,9,0.0,3.145571708679199,42.270320892333984
3,players,5,1.0,0.871801495552063,44.093544006347656
3,players,11,1.0,,
3,players,16,1.0,,
3,players,3,0.0,13.243250846862793,55.799190521240234
3,players,13,1.0,4.1413726806640625,18.178041458129883
3,players,15,0.0,,
3,players,18,1.0,17.14154624938965,60.75496292114258
3,players,12,0.0,,
3,players,17,1.0,13.943285942077637,36.4260368347168
3,players,21,0.0,17.637182235717773,61.13962173461914
3,players,23,1.0,,
4,players,10,0.0,18.729961395263672,41.247474670410156
4,players,1,1.0,8.558114051818848,51.55025863647461
4,players,6,0.0,,
4,players,14,1.0,3.725696325302124,60.1015739440918
4,players,7,0.0,17.939023971557617,28.753990173339844
4,players,3,0.0,13.381884574890137,55.829795837402344
4,players,4,1.0,19.584678649902344,66.93795013427734
4,players,8,0.0,6.847349643707275,58.30879592895508
4,players,11,1.0,,
4,players,5,1.0,0.897571325302124,44.10820007324219
4,players,9,0.0,3.1844165325164795,42.26962661743164
4,players,16,1.0,,
4,players,15,0.0,,
4,players,13,1.0,4.116090774536133,18.10709571838379
4,players,12,0.0,,
4,players,17,1.0,13.927857398986816,36.654205322265625
4,players,18,1.0,17.184608459472656,60.8957405090332
4,players,21,0.0,17.658489227294922,61.34953689575195
4,players,23,1.0,,
5,players,4,1.0,19.4137020111084,66.91490936279297
5,players,10,0.0,18.743541717529297,41.29063415527344
5,players,3,0.0,13.549029350280762,55.88524627685547
5,players,6,0.0,,
5,players,14,1.0,3.7158854007720947,60.293975830078125
5,players,11,1.0,,
5,players,5,1.0,0.9129408001899719,44.12830352783203
5,players,1,1.0,8.612578392028809,51.70705795288086
5,players,7,0.0,18.026996612548828,28.785375595092773
5,players,8,0.0,6.855504035949707,58.33071517944336
5,players,16,1.0,,
5,players,9,0.0,3.2147367000579834,42.26182556152344
5,players,15,0.0,,
5,players,28,0.0,,
5,players,13,1.0,4.081033229827881,18.10348892211914
5,players,12,0.0,,
5,players,18,1.0,17.43314552307129,61.04099655151367
5,players,17,1.0,13.91590690612793,36.78936767578125
5,players,21,0.0,17.676931381225586,61.124473571777344
5,players,23,1.0,,
6,players,4,1.0,19.220705032348633,66.966552734375
6,players,10,0.0,18.75341033935547,41.39609909057617
6,players,5,1.0,0.9319949746131897,44.195770263671875
6,players,1,1.0,8.677867889404297,51.92856979370117
6,players,15,0.0,,
6,players,14,1.0,3.7119243144989014,60.365447998046875
6,players,9,0.0,3.2799713611602783,42.2855339050293
6,players,11,1.0,,
6,players,3,0.0,13.680002212524414,55.9376220703125
6,players,16,1.0,,
6,players,28,0.0,,
6,players,8,0.0,6.855247497558594,58.33232116699219
6,players,7,0.0,18.07149314880371,28.785818099975586
6,players,6,0.0,,
6,players,12,0.0,,
6,players,13,1.0,4.08176326751709,18.126251220703125
6,players,17,1.0,13.947257041931152,36.730567932128906
6,players,21,0.0,17.789342880249023,61.40895462036133
6,players,18,1.0,17.58540916442871,61.030067443847656
6,players,23,1.0,,
7,players,4,1.0,19.025371551513672,67.2037582397461
7,players,5,1.0,0.9454811215400696,44.21098327636719
7,players,1,1.0,8.77310848236084,52.11100387573242
7,players,14,1.0,3.7075300216674805,60.40922927856445
7,players,15,0.0,,
7,players,16,1.0,,
7,players,9,0.0,3.3198952674865723,42.31454849243164
7,players,11,1.0,,
7,players,6,0.0,,
7,players,28,0.0,,
7,players,10,0.0,18.81833839416504,41.368900299072266
7,players,8,0.0,6.8532538414001465,58.329349517822266
7,players,3,0.0,13.776982307434082,56.03330612182617
7,players,7,0.0,18.13456153869629,28.86038589477539
7,players,12,0.0,,
7,players,13,1.0,4.092916488647461,18.107463836669922
7,players,17,1.0,13.959454536437988,36.702056884765625
7,players,18,1.0,17.498851776123047,61.45549011230469
7,players,23,1.0,,
8,players,16,1.0,,
8,players,3,0.0,13.887983322143555,56.16517639160156
8,players,6,0.0,,
8,players,14,1.0,3.6874351501464844,60.482513427734375
8,players,5,1.0,0.9584466218948364,44.22412872314453
8,players,15,0.0,,
8,players,11,1.0,,
8,players,1,1.0,8.84467887878418,52.21338653564453
8,players,7,0.0,18.150711059570312,29.122711181640625
8,players,4,1.0,18.90349006652832,67.30567932128906
8,players,9,0.0,3.33762788772583,42.48677444458008
8,players,8,0.0,6.859162330627441,58.30341720581055
8,players,28,0.0,,
8,players,10,0.0,18.86381721496582,41.384674072265625
8,players,18,1.0,17.622465133666992,61.625755310058594
8,players,12,0.0,,
8,players,13,1.0,4.093780040740967,18.098764419555664
8,players,17,1.0,13.968487739562988,36.65823745727539
8,players,29,1.0,,
8,players,23,1.0,,
9,players,3,0.0,14.056513786315918,56.57351303100586
9,players,4,1.0,18.723031997680664,67.41886901855469
9,players,5,1.0,0.9712828397750854,44.242576599121094
9,players,14,1.0,3.687126874923706,60.533199310302734
9,players,6,0.0,,
9,players,11,1.0,,
9,players,7,0.0,18.201730728149414,29.11764907836914
9,players,15,0.0,,
9,players,8,0.0,6.871757507324219,58.31513214111328
9,players,12,0.0,,
9,players,28,0.0,,
9,players,18,1.0,17.66087532043457,61.766090393066406
9,players,1,1.0,8.958674430847168,52.09612274169922
9,players,10,0.0,18.903419494628906,41.37691879272461
9,players,9,0.0,3.3646717071533203,42.46587371826172
9,players,16,1.0,,
9,players,13,1.0,4.107431411743164,18.14087677001953
9,players,17,1.0,13.973426818847656,36.67129898071289
9,players,29,1.0,,
10,players,4,1.0,18.55000114440918,67.54840087890625
10,players,11,1.0,,
10,players,6,0.0,,
10,players,5,1.0,0.9908944964408875,44.22714614868164
10,players,14,1.0,3.6737220287323,60.55522537231445
10,players,7,0.0,18.25928497314453,29.078582763671875
10,players,1,1.0,9.05587387084961,52.21415328979492
10,players,12,0.0,,
10,players,8,0.0,6.873111248016357,58.4046630859375
10,players,28,0.0,,
10,players,15,0.0,,
10,players,10,0.0,18.93919563293457,41.38237380981445
10,players,9,0.0,3.4057230949401855,42.509315490722656
10,players,13,1.0,4.111599922180176,18.170364379882812
10,players,3,0.0,14.201627731323242,56.50509262084961
10,players,17,1.0,13.969582557678223,36.692779541015625
10,players,29,1.0,,
10,players,16,1.0,,
10,players,18,1.0,17.73467254638672,61.708003997802734
11,players,6,0.0,,
11,players,11,1.0,,
11,players,8,0.0,6.880148410797119,58.44296646118164
11,players,14,1.0,3.6650078296661377,60.56737518310547
11,players,5,1.0,1.0084538459777832,44.22682571411133
11,players,7,0.0,18.27309799194336,29.2327823638916
11,players,4,1.0,18.379886627197266,67.4703369140625
11,players,1,1.0,9.181090354919434,52.24024963378906
11,players,12,0.0,,
11,players,10,0.0,18.963592529296875,41.45009994506836
11,players,28,0.0,,
11,players,9,0.0,3.440775156021118,42.542476654052734
11,players,3,0.0,14.499149322509766,56.82197189331055
11,players,16,1.0,,
11,players,15,0.0,,
11,players,13,1.0,4.11316442489624,18.319562911987305
11,players,17,1.0,13.971359252929688,36.70360565185547
11,players,29,1.0,,
11,players,21,0.0,18.023075103759766,62.06386947631836
11,players,18,1.0,17.925636291503906,61.756019592285156
12,players,6,0.0,,
12,players,8,0.0,6.885596752166748,58.59567642211914
12,players,14,1.0,3.6412792205810547,60.56831359863281
12,players,11,1.0,,
12,players,5,1.0,1.039626121520996,44.27311325073242
12,players,4,1.0,18.17880630493164,67.4715576171875
12,players,10,0.0,18.99163818359375,41.482486724853516
12,players,1,1.0,9.282669067382812,52.25151062011719
12,players,7,0.0,18.302169799804688,29.174036026000977
12,players,12,0.0,,
12,players,9,0.0,3.4683496952056885,42.72853088378906
